Client_Name,Manufacturer,Category,Registration_Date,Local_Agent,Expiry_Date,Product_Name,Product_Category
ROYAL GROUP ONB E/2 MACHAR SONS ESTATE TALPU ROAD KARACLU 74000 PAKISTAN,"Royal Charisma Pharmacy  -  Dome Pillar 2, Accra. , Ghana",Drugs,07/08/2024,ROKMER PHARMA LIMITED P.O BOX OD 435 ODORKOR ACCRA GHANA,01/02/2029,BEXAMET-N  DROPS,Drugs and Nutraceuticals
"MINT LIFE PHARMA LIMITED, P.O.BOX 1106, ACHIMOTA, ACCRA, GHANA",NEW GLOBAL PHARMACEUTICALS LIMITED P.O.BOX 2448 ACCRA,Drugs,01/07/2021,"MINT LIFE PHARMA LIMITED, P.O.BOX 1106, ACHIMOTA, ACCRA, GHANA",01/08/2026,OXYTETRACYCLINE 250MG CAPSULES,Drugs and Nutraceuticals
"M&G PHARMACEUTICALS, P.O.BOX GPO 1681 ACCRA",M&G PHARMACEUTICALS LIMITED,Drugs,24/03/2025,"M&G PHARMACEUTICALS, P.O.BOX GPO 1681 ACCRA",01/10/2030,HELMAZOLE,Drugs and Nutraceuticals
"GREENWICH THERAPEUTICS LIMITED; CSC WAREHOUSE (C), NO. 38 DADEBAN ROAD, NORTH INDUSTRIAL AREA, ACCRA, GHANA","TRIDENT LIFELINE PVT. LIMITED, 635, GIDC ESTATE, WAGHODIYA, VADODARA GUJARAT, INDIA",Drugs,05/09/2024,"GREENWICH THERAPEUTICS LIMITED; CSC WAREHOUSE (C), NO. 38 DADEBAN ROAD, NORTH INDUSTRIAL AREA, ACCRA, GHANA",01/12/2029,ZACY TABLETS  (Each film-coated tablet contains Aceclofenac 100mg),Drugs and Nutraceuticals
Ernest Chemist Limited,ERNEST CHEMIST LIMITED; P.O.BOX 3345 ACCRA,Drugs,19/11/2021,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/12/2026,ERNEST ANTISEPTIC MOUTHWASH (FRESH MINT),Drugs and Nutraceuticals
"LES LABORATORIES SERVIES (LLS) 50 RUE CARNOT 92284 SURESNESS CEDEX, FRANCE","LES LABORATORIES SERVICES INDUSTRIES 905, ROUTE DE SARAN 45520 GIDY FRANCE",Drugs,26/01/2024,"Eton Blue Limited,  - 34 Lartebiokorshie Road, Ghana.",01/09/2027,TRIVERAM TABLETS  (Each tablet contains Atorvastatin/Perindopril arginine / Amlodipine 20mg/5mg/5mg),Drugs and Nutraceuticals
"KORLYNS PHARMACEUTICALS (GH) LIMITED, P.O.BOX MD 166 MADINA ACCRA GHANA","Teva Uk Limited - Bourne, Bn 229Ag, United Kingdom",Drugs,20/04/2023,"KORLYNS PHARMACEUTICALS (GH) LIMITED, P.O.BOX MD 166 MADINA ACCRA GHANA",01/05/2026,TABLETS  (Eache tablet contains Atenolol 100mg),Drugs and Nutraceuticals
"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA","KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",Drugs,07/05/2021,"KINAPHARMA LIMITED, P.O.BOX, 241, TRADE FAIR, LA, ACCRA, GHANA",01/06/2026,FINE LIFE BLOOD TONIC,Drugs and Nutraceuticals
ROKMER PHARMA LIMITED P.O BOX OD 435 ODORKOR ACCRA GHANA,MERCURY HEALTHCARE PVT LIMITED,Drugs,13/03/2023,ROKMER PHARMA LIMITED P.O BOX OD 435 ODORKOR ACCRA GHANA,01/04/2026,KLIRE 4-WAY COUGH,Drugs and Nutraceuticals
"LAVINA PHARMACEUTICALS PVT. LIMITED, SATRA PLAZA, OFFICE NO.402 PLOT NO. 19-20, SECTOR-19 D, PALM BEACH RD, NAVI MUMBAI, MAHARASHTRA 400703, INDIA","Lavina Pharmaceuticals Pvt Ltd - Office No 402 4th Floor Satra Plaza   Plot No 19 20 Sector 19D    Vashi Navi Mumbai 400703, India",Drugs,02/07/2024,ERNEST CHEMIT LIMITED P.O.BOX 3345 ACCRA,01/08/2029,SSS THROAT LOZENGES-STRAWBERRY,Drugs and Nutraceuticals
